Gene Name
ABCA1
ABCB11
ABCC8
ABCC9
ACSL4
AGTR1
AMY2A
CALCR
CFTR
CPE
CPT1A
DPP4
ETFDH
GAA
GANAB
GANC
GCGR
GIP
GLP1R
GPD1
GUCY2C
HDAC2
HMGCR
HRH1
IGF1R
IGFBP7
INSR
ITGAL
JUN
KCNJ1
KCNJ11
KCNJ8
LRP2
MAOB
MGAM
NOV
NR3C2
PPARA
PPARD
PPARG
PRKAA1
PRKAB1
RAMP1
RAMP2
RAMP3
RXRA
RXRB
RXRG
SI
SLC5A1
SLC5A2
TRPM4
VEGFA
